Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016,Action,Nintendo,0.05,0.21,0.25,0.02
Theatrhythm: Final Fantasy,3DS,2012,Misc,Square Enix,0.22,0.07,0.18,0.02
Ridge Racer 3D,3DS,2011,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03
Super Monkey Ball 3D,3DS,2011,Action,Sega,0.26,0.15,0.05,0.04
Sonic Lost World,3DS,2013,Platform,Sega,0.24,0.14,0.07,0.03
Resident Evil: The Mercenaries 3D,3DS,2011,Action,Capcom,0.16,0.16,0.13,0.03
Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04
Pokemon Art Academy ,3DS,2014,Misc,Nintendo,0.18,0.12,0.16,0.03
Asphalt 3D,3DS,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04
Steel Diver,3DS,2011,Action,Nintendo,0.31,0.09,0.05,0.03
Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,0.17,0.1,0.18,0.03
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,Nintendo,0.06,0.07,0.34,0.01
Mario Golf: World Tour,3DS,2014,Sports,Nintendo,0.15,0.13,0.17,0.03
Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0,0.01,0.46,0
Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.2,0.04,0.21,0.02
FIFA 15,3DS,2014,Sports,Electronic Arts,0.09,0.34,0,0.03
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action,Namco Bandai Games,0,0,0.1,0
Etrian Odyssey II: Heroes of Lagaard,3DS,2014,Role-Playing,Atlus,0,0,0.1,0
Little Battlers eXperience W,3DS,2013,Role-Playing,Level 5,0,0,0.1,0
Samurai Warriors Chronicles 2nd,3DS,2012,Action,Ubisoft Annecy,0,0,0.1,0
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0,0,0.01
Pinball Hall of Fame: The Williams Collection,3DS,2011,Misc,Crave Entertainment,0.09,0,0,0.01
Generator Rex: Agent of Providence,3DS,2011,Action,Activision,0.07,0.02,0,0.01
Marvel Super Hero Squad: The Infinity Gauntlet,3DS,2011,Action,THQ,0.07,0.02,0,0.01
Thor: God of Thunder,3DS,2011,Action,Sega,0.06,0.03,0,0.01
Cubic Ninja,3DS,2011,Platform,Ubisoft,0.05,0.04,0,0.01
Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014,Role-Playing,Atlus,0.07,0.02,0,0.01
Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,Deep Silver,0.07,0.02,0,0.01
Kuroko's Basketball: Miracle Game,3DS,2014,Sports,Namco Bandai Games,0,0,0.1,0
Brain Age: Concentration Training,3DS,2012,Puzzle,Nintendo,0.09,0,0,0.01
Disney Planes Fire & Rescue,3DS,2014,Action,Disney Interactive Studios,0.01,0.08,0,0.01
Ouchi Mainichi Tamagotchi,3DS,2012,Action,Namco Bandai Games,0,0,0.09,0
PAC-MAN and the Ghostly Adventures,3DS,2013,Platform,Namco Bandai Games,0.05,0.04,0,0.01
Sonic Boom: Fire & Ice,3DS,2016,Platform,Sega,0.05,0.03,0,0.01
Driver: Renegade,3DS,2011,Racing,Ubisoft,0.05,0.04,0,0.01
Cardfight!! Vanguard: Ride to Victory,3DS,2013,Misc,FuRyu,0,0,0.09,0
Carnival Games: Wild West 3D,3DS,2011,Misc,Take-Two Interactive,0.06,0.02,0,0.01
Pokemon Rumble World,3DS,2015,Action,Nintendo,0,0.01,0.08,0
Mahjong Cub3D,3DS,2011,Puzzle,Sunsoft,0.07,0,0.02,0
Terraria,3DS,2016,Action,505 Games,0,0.04,0.05,0
Digimon World Re:Digitize Decode,3DS,2013,Role-Playing,Namco Bandai Games,0,0,0.09,0
Kuroko's Basketball: Ties to Future,3DS,2015,Action,Namco Bandai Games,0,0,0.09,0
Inazuma Eleven 3,3DS,2013,Role-Playing,Nintendo,0,0.08,0,0
Lost Heroes,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.09,0
Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.03,0.05,0,0.01
The Seven Deadly Sins: Unjust Sin,3DS,2015,Adventure,Namco Bandai Games,0,0,0.08,0
Nano Assault,3DS,2011,Shooter,Majesco Entertainment,0.08,0,0,0.01
Captain America: Super Soldier,3DS,2011,Action,Sega,0.05,0.02,0,0.01
Nikoli's Pencil Puzzle,3DS,2011,Puzzle,Hudson Soft,0.05,0.03,0,0.01
Gundam the 3D Battle,3DS,2011,Action,Namco Bandai Games,0,0,0.08,0
Face Racers: Photo Finish,3DS,N/A,Racing,Majesco Entertainment,0.08,0,0,0.01
Kamen Rider: Travelers Senki,3DS,2013,Action,Seventh Chord,0,0,0.08,0
Pretty Rhythm: My Deco Rainbow Wedding,3DS,2013,Misc,Takara Tomy,0,0,0.08,0
One Piece: Romance Dawn - Bouken no Yoake,3DS,2013,Fighting,Namco Bandai Games,0,0,0.08,0
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0
Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS,2013,Misc,Takara Tomy,0,0,0.08,0
The Hidden,3DS,N/A,Adventure,Unknown,0.08,0,0,0.01
Puzzler Mind Gym 3D,3DS,2011,Puzzle,Ubisoft,0.07,0,0,0.01
Kobitodzukan: Kobito no Fushigi - Jikken Set,3DS,2013,Misc,Nippon Columbia,0,0,0.08,0
Doraemon: Nobita and the Island of Miracles,3DS,2012,Action,FuRyu,0,0,0.08,0
Pac-Man and the Ghostly Adventures 2,3DS,2014,Adventure,Namco Bandai Games,0.03,0.04,0,0.01
Medabots Dual: Kabuto / Kuwagata,3DS,2013,Role-Playing,Rocket Company,0,0,0.08,0
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS,2012,Action,Namco Bandai Games,0,0,0.08,0
Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0,0,0.08,0
Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016,Misc,Nippon Columbia,0,0,0.08,0
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games,0.05,0,0.02,0.01
Aikatsu! My No.1 Stage!,3DS,2015,Misc,Namco Bandai Games,0,0,0.08,0
Nicola Kanshuu: Model Oshare * Audition Platina,3DS,2012,Action,Alchemist,0,0,0.08,0
Kenka Banchou 6: Soul & Blood,3DS,2015,Fighting,Screenlife,0,0,0.07,0
Medabots 8,3DS,2014,Role-Playing,Rocket Company,0,0,0.07,0
Touch Detective: Nameko Shigeru,3DS,2013,Adventure,Success,0,0,0.07,0
Hero Bank,3DS,2014,Role-Playing,Sega,0,0,0.07,0
Disney's Planes,3DS,2013,Simulation,Disney Interactive Studios,0.04,0.03,0,0.01
Model * Oshare Audition: Dream Girl,3DS,2013,Misc,Alchemist,0,0,0.07,0
Petz Fantasy 3D,3DS,2011,Simulation,Ubisoft,0.07,0,0,0
E.X. Troopers,3DS,2012,Shooter,Capcom,0,0,0.07,0
J Legend Retsuden,3DS,2013,Misc,Namco Bandai Games,0,0,0.07,0
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,3DS,2012,Action,Namco Bandai Games,0,0,0.07,0
Dream Trigger 3D,3DS,N/A,Shooter,D3Publisher,0.04,0.02,0,0.01
Magi: The Labyrinth of Beginning,3DS,2013,Role-Playing,Namco Bandai Games,0,0,0.07,0
Haikyuu!! Tsunage! Itadaki no Keshiki!!,3DS,2014,Adventure,Namco Bandai Games,0,0,0.07,0
Cut the Rope,3DS,2014,Puzzle,Activision,0.06,0,0,0.01
Pro Yaky? Spirits 2011,3DS,2011,Sports,Konami Digital Entertainment,0,0,0.07,0
Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,2013,Action,FuRyu,0,0,0.07,0
Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,3DS,2014,Action,Nippon Columbia,0,0,0.07,0
Lost Heroes 2,3DS,2015,Action,Namco Bandai Games,0,0,0.07,0
"Horrid Henry: The Good, The Bad and The Bugly",3DS,2011,Platform,Asylum Entertainment,0,0.06,0,0.01
Future Card Buddy Fight: Yuujou no Bakunetsu Fight,3DS,2015,Action,FuRyu,0,0,0.07,0
Transformer: Rise of the Dark Spark (3DS),3DS,2014,Role-Playing,Activision,0.05,0.01,0,0.01
Gundam Try Age SP,3DS,2014,Strategy,Namco Bandai Games,0,0,0.07,0
Penguins of Madagascar,3DS,2014,Action,Namco Bandai Games,0,0.06,0,0
12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,0,0,0.07,0
Cardfight!! Vanguard: Lock On Victory!!,3DS,2014,Misc,FuRyu,0,0,0.07,0
Moshi Monsters: Katsuma Unleashed,3DS,2013,Action,Activision,0.03,0.03,0,0.01
Mario vs. Donkey Kong: Tipping Stars,3DS,2015,Puzzle,Nintendo,0,0,0.06,0
Dynasty Warriors Vs,3DS,2012,Action,Ackkstudios,0,0,0.06,0
The Amazing Spider-Man 2 (2014),3DS,2014,Action,Activision,0.03,0.03,0,0.01
Game Center CX: 3-Choume no Arino,3DS,2014,Action,Namco Bandai Games,0,0,0.06,0
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016,Action,Namco Bandai Games,0,0,0.06,0
A-Train: City Simulator,3DS,2014,Simulation,ArtDink,0,0,0.06,0
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,2014,Adventure,Namco Bandai Games,0,0,0.06,0
Nicola Kanshuu: Model * Oshare Audition 2,3DS,2011,Action,Alchemist,0,0,0.06,0
Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo! ,3DS,2014,Action,Namco Bandai Games,0,0,0.06,0
JoJo's Bizarre Adventure: All Star Battle,3DS,2012,Fighting,Take-Two Interactive,0.06,0,0,0
Smile PreCure! Let's Go! Marchen World,3DS,2012,Action,Namco Bandai Games,0,0,0.06,0
Doraemon: Nobita no Uchuu Eiyuuki,3DS,2015,Action,FuRyu,0,0,0.06,0
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,0.31,0,0.03,0.02
One Piece: Gigant Battle!,DS,2010,Fighting,Namco Bandai Games,0,0,0.36,0
Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games,0.12,0.02,0.21,0.01
My Horse & Me,DS,2007,Sports,Atari,0.33,0,0,0.03
ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",0.33,0,0,0.02
Digging for Dinosaurs,DS,2010,Action,Scholastic Inc.,0.33,0,0,0.02
Wonder Pets! Save the Animals!,DS,2008,Adventure,Take-Two Interactive,0.33,0,0,0.02
Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo,0.3,0.01,0.02,0.03
Worms: Open Warfare 2,DS,2007,Strategy,THQ,0.07,0.24,0,0.04
One Piece: Gigant Battle 2 Shin Sekai,DS,2011,Fighting,Namco Bandai Games,0,0,0.35,0
CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,Ubisoft,0.16,0.15,0,0.04
Hello Kitty Daily,DS,2008,Misc,Nobilis,0.32,0,0,0.03
Pirates of the Caribbean: At World's End,DS,2007,Action,Disney Interactive Studios,0.3,0.01,0.01,0.03
Mini Ninjas,DS,2009,Action,Eidos Interactive,0.16,0.15,0,0.04
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,0.31,0,0,0.03
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,THQ,0.31,0,0,0.02
SimCity Creator,DS,2008,Simulation,Electronic Arts,0.29,0.02,0,0.03
Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,Misc,Hudson Soft,0,0,0.34,0
Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive Entertainment,0.28,0.04,0,0.03
Smart Girl's Party Game,DS,2008,Misc,505 Games,0.31,0,0,0.02
My Baby Boy,DS,2008,Simulation,Nobilis,0.3,0.01,0,0.03
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,0.28,0,0.03,0.02
Imagine: Movie Star,DS,2008,Simulation,Ubisoft,0.31,0,0,0.03
Iron Man 2,DS,2010,Action,Sega,0.14,0.16,0,0.03
Bejeweled 3,DS,N/A,Puzzle,Unknown,0.29,0.02,0,0.02
Mega Man ZX Advent,DS,2007,Platform,Capcom,0.22,0,0.09,0.02
Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,Activision,0.17,0.13,0,0.03
Night at the Museum: Battle of the Smithsonian,DS,2009,Action,Majesco Entertainment,0.12,0.18,0,0.04
Avatar: The Last Airbender,DS,2006,Adventure,THQ,0.3,0.01,0,0.03
Bookworm,DS,2009,Puzzle,PopCap Games,0.3,0.01,0,0.02
Planet Puzzle League,DS,2007,Puzzle,Nintendo,0.14,0.01,0.16,0.01
Etrian Odyssey,DS,2007,Role-Playing,Nintendo,0.19,0.02,0.09,0.02
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,2007,Misc,Rocket Company,0,0,0.33,0
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,2010,Strategy,Nintendo,0,0,0.27,0
Beyblade: Metal Masters,DS,2010,Action,Konami Digital Entertainment,0.14,0.09,0,0.03
Littlest Pet Shop: Beach Friends,DS,2009,Simulation,Electronic Arts,0.25,0,0,0.02
Pinkalicious,DS,2011,Misc,GameMill Entertainment,0.25,0,0,0.02
Reader Rabbit Kindergarten,DS,2008,Misc,Nordic Games,0.25,0,0,0.02
Super Collapse! 3,DS,2007,Puzzle,Mumbo Jumbo,0.25,0,0,0.02
Cake Mania 2: Jill's Next Adventure!,DS,2008,Puzzle,Majesco Entertainment,0.24,0,0,0.02
Boogie,DS,2007,Misc,Electronic Arts,0.24,0,0,0.02
My Japanese Coach,DS,2008,Misc,Ubisoft,0.24,0,0,0.02
Need for Speed: Most Wanted,DS,2005,Racing,Electronic Arts,0.24,0.01,0,0.02
Sesame Street: Cookie's Counting Carnival,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.25,0,0,0.02
Fish Tycoon,DS,2007,Simulation,Majesco Entertainment,0.24,0,0,0.02
Megamind: The Blue Defender,DS,2010,Adventure,THQ,0.19,0.06,0,0.02
America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0,0,0.02
Battle of Giants: Mutant Insects,DS,2010,Strategy,Ubisoft,0.09,0.14,0,0.03
Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01
Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,Atlus,0.13,0,0.12,0.01
Love Plus,DS,2009,Simulation,Konami Digital Entertainment,0,0,0.26,0
Tales of Innocence,DS,2007,Role-Playing,Namco Bandai Games,0,0,0.26,0
Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,Atlus,0.09,0,0.16,0.01
Family Feud: 2010 Edition,DS,2009,Misc,Ubisoft,0.24,0,0,0.02
DS Bungaku Zenshuu,DS,2007,Misc,Nintendo,0,0,0.26,0
Ace Attorney Investigations 2,DS,2011,Adventure,Capcom,0,0,0.26,0
TouchMaster 3(Others sales),DS,2009,Puzzle,Warner Bros. Interactive Entertainment,0,0.24,0,0.02
Babysitting Mania,DS,2008,Simulation,Majesco Entertainment,0.24,0,0,0.02
SD Gundam G Generation: Cross Drive,DS,2007,Strategy,Namco Bandai Games,0,0,0.26,0
Bratz Ponyz 2,DS,2008,Adventure,Game Factory,0.24,0,0,0.02
Call of Duty: Modern Warfare 3: Defiance,DS,2011,Shooter,Activision,0.19,0.04,0,0.02
Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.11,0.02,0.11,0.01
Rayman DS,DS,2005,Platform,Ubisoft,0.21,0.03,0,0.02
Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,0.24,0,0,0.02
The Penguins of Madagascar,DS,2010,Action,THQ,0.12,0.11,0,0.02
Pirates of the Caribbean: Dead Man's Chest,DS,2006,Adventure,Disney Interactive Studios,0.23,0.01,0,0.02
Madden NFL 2005,DS,2004,Sports,Electronic Arts,0.24,0,0,0.02
Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01
Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0,0.02,0.02
Madden NFL 08,DS,2007,Sports,Electronic Arts,0.23,0,0,0.02
The Suite Life of Zack & Cody: Tipton Trouble,DS,2006,Action,Disney Interactive Studios,0.23,0,0,0.02
Smart Girl's Playhouse,DS,2007,Misc,505 Games,0.24,0,0,0.02
Ben 10 Triple Pack,DS,2011,Misc,D3Publisher,0.12,0.11,0,0.02
Scrabble,DS,2009,Misc,Ubisoft,0.2,0.02,0,0.03
Imagine: Ballet Star,DS,2008,Simulation,Ubisoft,0.23,0,0,0.02
Animal Paradise,DS,2007,Simulation,Empire Interactive,0.09,0.14,0,0.02
